"age","insured_sex","policy_state","policy_csl","incident_type","incident_severity","collision_type","authorities_contacted","total_claim_amount","fraud_reported","haute_reclamation","jeune_conducteur","prob_reclam"
36,"MALE","IL","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Fire",45700,"N",1,0,0.27930174563591
41,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Other",80740,"Y",1,0,0.27930174563591
26,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",31350,"Y",1,0,0.27930174563591
33,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",35000,"N",1,0,0.283018867924528
59,"MALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",68000,"N",1,0,0.27930174563591
30,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Other",84500,"N",1,0,0.27930174563591
42,"FEMALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Police",75500,"N",1,0,0.283018867924528
45,"FEMALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",64320,"N",1,0,0.27930174563591
33,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",31700,"N",1,0,0.27930174563591
30,"MALE","IN","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Other",74280,"Y",1,0,0.283018867924528
37,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Front Collision","Fire",80520,"N",1,0,0.283018867924528
30,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Other",63600,"N",1,0,0.27930174563591
44,"MALE","IL","250/500","Single Vehicle Collision","Total Loss","Front Collision","Police",32800,"N",1,0,0.283018867924528
50,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Police",44190,"N",1,0,0.27930174563591
26,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Other",50400,"Y",1,0,0.27930174563591
55,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",88400,"N",1,0,0.27930174563591
49,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Fire",66550,"N",1,0,0.27930174563591
47,"MALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",65780,"N",1,0,0.27930174563591
40,"MALE","IN","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Other",51810,"Y",1,0,0.27930174563591
31,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Other",55660,"Y",1,0,0.283018867924528
28,"MALE","OH","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Fire",44640,"N",1,0,0.283018867924528
46,"FEMALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",77660,"Y",1,0,0.27930174563591
30,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Fire",53440,"N",1,0,0.283018867924528
31,"FEMALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Police",65250,"N",1,0,0.283018867924528
39,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",44280,"N",1,0,0.27930174563591
37,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Police",70290,"N",1,0,0.283018867924528
30,"FEMALE","IN","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Other",87100,"N",1,0,0.283018867924528
35,"MALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Fire",50380,"N",1,0,0.27930174563591
45,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Police",64800,"Y",1,0,0.27930174563591
42,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",70400,"N",1,0,0.283018867924528
26,"MALE","IL","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Police",57860,"Y",1,0,0.283018867924528
38,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Police",66600,"Y",1,0,0.283018867924528
28,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Police",70920,"N",1,0,0.283018867924528
56,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",39480,"N",1,0,0.283018867924528
43,"FEMALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",63240,"N",1,0,0.283018867924528
34,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Other",67650,"N",1,0,0.27930174563591
39,"FEMALE","IL","100/300","Single Vehicle Collision","Major Damage","Front Collision","Fire",74200,"Y",1,0,0.283018867924528
43,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Other",64900,"N",1,0,0.283018867924528
44,"FEMALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",35900,"Y",1,0,0.27930174563591
26,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",52200,"N",1,0,0.283018867924528
57,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Police",78000,"N",1,0,0.283018867924528
27,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",67200,"N",1,0,0.27930174563591
43,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Fire",63250,"N",1,0,0.283018867924528
37,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Other",68760,"N",1,0,0.27930174563591
28,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Police",65040,"N",1,0,0.27930174563591
33,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",82800,"Y",1,0,0.283018867924528
44,"MALE","OH","500/1000","Single Vehicle Collision","Total Loss","Side Collision","Other",61700,"N",1,0,0.283018867924528
61,"FEMALE","IN","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",78100,"Y",1,0,0.27930174563591
24,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",65520,"Y",1,1,0.27930174563591
41,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Other",42700,"Y",1,0,0.27930174563591
47,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Ambulance",54000,"N",1,0,0.283018867924528
19,"FEMALE","IN","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Police",48950,"Y",1,1,0.283018867924528
47,"MALE","IL","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Other",77800,"N",1,0,0.27930174563591
57,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Other",52560,"N",1,0,0.27930174563591
41,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",44110,"N",1,0,0.27930174563591
30,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",74360,"N",1,0,0.283018867924528
53,"MALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Side Collision","Police",62280,"N",1,0,0.27930174563591
44,"FEMALE","IL","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Other",26730,"N",1,0,0.27930174563591
29,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",66200,"N",1,0,0.283018867924528
26,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Fire",45500,"N",1,0,0.283018867924528
41,"MALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",53040,"N",1,0,0.27930174563591
32,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Other",50800,"Y",1,0,0.27930174563591
41,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Police",44200,"N",1,0,0.27930174563591
34,"FEMALE","IL","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Police",62920,"N",1,0,0.283018867924528
29,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",49950,"Y",1,0,0.27930174563591
46,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",56430,"Y",1,0,0.283018867924528
30,"MALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",49140,"N",1,0,0.27930174563591
38,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",66840,"N",1,0,0.283018867924528
21,"MALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",62460,"N",1,1,0.283018867924528
36,"MALE","OH","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Other",62810,"N",1,0,0.27930174563591
33,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",54160,"N",1,0,0.283018867924528
35,"FEMALE","IL","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",48400,"N",1,0,0.283018867924528
48,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Side Collision","Fire",51480,"N",1,0,0.27930174563591
36,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",51700,"N",1,0,0.27930174563591
58,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Other",65520,"N",1,0,0.27930174563591
31,"MALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Other",47700,"Y",1,0,0.27930174563591
57,"MALE","IN","100/300","Single Vehicle Collision","Major Damage","Side Collision","Other",73320,"N",1,0,0.283018867924528
46,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",74900,"N",1,0,0.283018867924528
33,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",76920,"N",1,0,0.283018867924528
53,"FEMALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Police",77990,"N",1,0,0.27930174563591
46,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Fire",59670,"N",1,0,0.283018867924528
33,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",44880,"Y",1,0,0.27930174563591
51,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",82830,"N",1,0,0.283018867924528
60,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Front Collision","Other",84480,"Y",1,0,0.283018867924528
30,"FEMALE","IN","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Fire",79800,"N",1,0,0.27930174563591
41,"MALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",53020,"N",1,0,0.27930174563591
45,"FEMALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",24200,"N",1,0,0.27930174563591
40,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",43230,"N",1,0,0.283018867924528
44,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",69480,"N",1,0,0.27930174563591
32,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",61270,"N",1,0,0.283018867924528
49,"FEMALE","OH","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Police",71440,"N",1,0,0.283018867924528
37,"FEMALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",55600,"N",1,0,0.283018867924528
41,"FEMALE","IN","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Ambulance",69300,"N",1,0,0.283018867924528
37,"MALE","IN","250/500","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",81120,"N",1,0,0.283018867924528
48,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Fire",60600,"N",1,0,0.283018867924528
31,"MALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",64800,"Y",1,0,0.27930174563591
34,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Police",66880,"Y",1,0,0.27930174563591
35,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",58200,"N",1,0,0.283018867924528
31,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Police",60570,"N",1,0,0.283018867924528
36,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",69680,"Y",1,0,0.27930174563591
58,"MALE","IN","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Fire",55700,"N",1,0,0.283018867924528
47,"FEMALE","IN","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",62370,"N",1,0,0.27930174563591
45,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Other",54340,"N",1,0,0.27930174563591
48,"FEMALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Police",55170,"Y",1,0,0.283018867924528
34,"MALE","IL","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Other",58500,"N",1,0,0.283018867924528
32,"MALE","OH","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Fire",59940,"N",1,0,0.283018867924528
28,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Side Collision","Police",73400,"N",1,0,0.283018867924528
23,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Fire",41850,"N",1,1,0.283018867924528
31,"MALE","IN","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Fire",57330,"N",1,0,0.283018867924528
50,"MALE","OH","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Other",81960,"N",1,0,0.27930174563591
33,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Side Collision","Fire",70400,"Y",1,0,0.283018867924528
52,"FEMALE","IN","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Police",54810,"Y",1,0,0.283018867924528
37,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Fire",49400,"N",1,0,0.283018867924528
53,"MALE","IL","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Fire",68750,"N",1,0,0.283018867924528
32,"FEMALE","OH","100/300","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",61500,"N",1,0,0.283018867924528
39,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Ambulance",76890,"N",1,0,0.27930174563591
32,"FEMALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",56070,"N",1,0,0.283018867924528
30,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Side Collision","Fire",56000,"N",1,0,0.283018867924528
37,"FEMALE","IL","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Other",60750,"N",1,0,0.27930174563591
30,"FEMALE","IL","250/500","Single Vehicle Collision","Minor Damage","Side Collision","Other",48730,"N",1,0,0.283018867924528
28,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Ambulance",79800,"Y",1,0,0.283018867924528
38,"FEMALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",79500,"N",1,0,0.283018867924528
44,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Other",76230,"Y",1,0,0.283018867924528
54,"MALE","IL","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Ambulance",59520,"N",1,0,0.283018867924528
57,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Police",47760,"Y",1,0,0.27930174563591
41,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Police",84590,"N",1,0,0.27930174563591
38,"MALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Other",61650,"N",1,0,0.27930174563591
33,"FEMALE","IL","500/1000","Single Vehicle Collision","Major Damage","Rear Collision","Police",81400,"N",1,0,0.283018867924528
34,"FEMALE","IN","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Fire",58410,"N",1,0,0.27930174563591
56,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",38610,"N",1,0,0.27930174563591
37,"FEMALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Fire",57600,"N",1,0,0.27930174563591
35,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Fire",53190,"N",1,0,0.27930174563591
57,"FEMALE","OH","100/300","Single Vehicle Collision","Major Damage","Front Collision","Other",58300,"Y",1,0,0.283018867924528
38,"MALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",64620,"N",1,0,0.27930174563591
36,"FEMALE","OH","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",55900,"N",1,0,0.27930174563591
29,"MALE","IL","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Other",63800,"Y",1,0,0.283018867924528
56,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Police",58160,"Y",1,0,0.283018867924528
44,"MALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",69850,"N",1,0,0.27930174563591
21,"FEMALE","OH","250/500","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",62900,"N",1,1,0.283018867924528
30,"MALE","IN","500/1000","Multi-vehicle Collision","Major Damage","Front Collision","Other",59670,"Y",1,0,0.27930174563591
40,"MALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Other",81500,"N",1,0,0.27930174563591
56,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Ambulance",50000,"N",1,0,0.283018867924528
28,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Other",48290,"N",1,0,0.283018867924528
29,"MALE","OH","500/1000","Single Vehicle Collision","Total Loss","Rear Collision","Fire",59070,"N",1,0,0.283018867924528
24,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",63300,"N",1,1,0.27930174563591
46,"MALE","IL","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",65780,"N",1,0,0.283018867924528
29,"MALE","OH","250/500","Multi-vehicle Collision","Total Loss","Front Collision","Ambulance",75400,"Y",1,0,0.27930174563591
39,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",54120,"N",1,0,0.27930174563591
49,"MALE","OH","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Other",69480,"N",1,0,0.27930174563591
43,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Police",66950,"N",1,0,0.283018867924528
47,"FEMALE","OH","250/500","Multi-vehicle Collision","Major Damage","Rear Collision","Other",64100,"Y",1,0,0.27930174563591
46,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Other",80280,"N",1,0,0.283018867924528
32,"MALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",39720,"N",1,0,0.27930174563591
58,"MALE","IL","250/500","Single Vehicle Collision","Major Damage","Front Collision","Police",63580,"Y",1,0,0.283018867924528
49,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Side Collision","Other",73370,"N",1,0,0.283018867924528
29,"FEMALE","OH","500/1000","Single Vehicle Collision","Minor Damage","Side Collision","Police",86790,"N",1,0,0.283018867924528
39,"MALE","IN","250/500","Single Vehicle Collision","Major Damage","Side Collision","Police",49800,"N",1,0,0.283018867924528
38,"FEMALE","IL","100/300","Single Vehicle Collision","Major Damage","Side Collision","Other",77440,"N",1,0,0.283018867924528
48,"FEMALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",42900,"N",1,0,0.283018867924528
26,"FEMALE","OH","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Fire",53820,"Y",1,0,0.27930174563591
46,"MALE","IL","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Police",57330,"N",1,0,0.283018867924528
24,"FEMALE","IL","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Police",53370,"N",1,1,0.27930174563591
29,"MALE","IL","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Police",62920,"N",1,0,0.283018867924528
24,"FEMALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Front Collision","Fire",61600,"N",1,1,0.27930174563591
30,"MALE","IL","500/1000","Multi-vehicle Collision","Total Loss","Rear Collision","Police",74160,"N",1,0,0.27930174563591
38,"MALE","OH","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Police",80100,"N",1,0,0.283018867924528
34,"MALE","IL","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",58800,"N",1,0,0.283018867924528
38,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Ambulance",53730,"Y",1,0,0.27930174563591
60,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",60600,"N",1,0,0.283018867924528
48,"FEMALE","OH","250/500","Single Vehicle Collision","Total Loss","Side Collision","Other",35750,"N",1,0,0.283018867924528
27,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",42840,"N",1,0,0.283018867924528
39,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Fire",87960,"Y",1,0,0.27930174563591
41,"MALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",47800,"N",1,0,0.27930174563591
43,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Fire",77000,"N",1,0,0.283018867924528
26,"FEMALE","IL","250/500","Single Vehicle Collision","Total Loss","Rear Collision","Ambulance",88110,"N",1,0,0.283018867924528
42,"MALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",47740,"N",1,0,0.27930174563591
30,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",58960,"N",1,0,0.27930174563591
45,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",78870,"N",1,0,0.27930174563591
54,"FEMALE","IL","100/300","Single Vehicle Collision","Total Loss","Front Collision","Ambulance",75960,"N",1,0,0.283018867924528
34,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Police",75570,"Y",1,0,0.283018867924528
53,"FEMALE","IN","100/300","Single Vehicle Collision","Major Damage","Front Collision","Ambulance",80960,"N",1,0,0.283018867924528
38,"MALE","IL","100/300","Multi-vehicle Collision","Total Loss","Front Collision","Other",79080,"N",1,0,0.27930174563591
42,"FEMALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Fire",62590,"N",1,0,0.27930174563591
23,"FEMALE","OH","250/500","Single Vehicle Collision","Major Damage","Side Collision","Other",52400,"Y",1,1,0.283018867924528
46,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",63580,"N",1,0,0.27930174563591
55,"FEMALE","IL","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Police",61400,"N",1,0,0.27930174563591
44,"FEMALE","IN","250/500","Single Vehicle Collision","Total Loss","Front Collision","Fire",74140,"N",1,0,0.283018867924528
30,"FEMALE","OH","500/1000","Single Vehicle Collision","Major Damage","Front Collision","Other",83160,"N",1,0,0.283018867924528
31,"FEMALE","IL","100/300","Multi-vehicle Collision","Major Damage","Rear Collision","Police",48070,"N",1,0,0.27930174563591
25,"FEMALE","OH","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",51030,"N",1,0,0.27930174563591
40,"MALE","IN","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Fire",43280,"Y",1,0,0.283018867924528
29,"FEMALE","IN","250/500","Single Vehicle Collision","Major Damage","Front Collision","Fire",76400,"N",1,0,0.283018867924528
43,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Side Collision","Ambulance",75460,"N",1,0,0.283018867924528
50,"MALE","OH","100/300","Multi-vehicle Collision","Major Damage","Side Collision","Other",69000,"Y",1,0,0.27930174563591
29,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",67210,"N",1,0,0.27930174563591
37,"MALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Ambulance",42500,"N",1,0,0.27930174563591
53,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",86400,"N",1,0,0.283018867924528
40,"FEMALE","IL","100/300","Multi-vehicle Collision","Minor Damage","Side Collision","Other",41700,"N",1,0,0.27930174563591
51,"MALE","IL","100/300","Single Vehicle Collision","Major Damage","Rear Collision","Other",77330,"Y",1,0,0.283018867924528
35,"FEMALE","IL","100/300","Multi-vehicle Collision","Total Loss","Side Collision","Fire",24570,"Y",1,0,0.27930174563591
38,"FEMALE","IN","100/300","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",53680,"N",1,0,0.27930174563591
49,"MALE","IN","500/1000","Multi-vehicle Collision","Total Loss","Side Collision","Police",42900,"N",1,0,0.27930174563591
41,"MALE","OH","250/500","Single Vehicle Collision","Minor Damage","Front Collision","Fire",84100,"Y",1,0,0.283018867924528
27,"FEMALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Fire",61560,"N",1,0,0.283018867924528
39,"FEMALE","IN","500/1000","Single Vehicle Collision","Minor Damage","Rear Collision","Police",44240,"N",1,0,0.283018867924528
33,"FEMALE","IN","500/1000","Multi-vehicle Collision","Minor Damage","Rear Collision","Ambulance",57700,"N",1,0,0.27930174563591
30,"FEMALE","IN","100/300","Single Vehicle Collision","Minor Damage","Rear Collision","Fire",54300,"N",1,0,0.283018867924528
54,"MALE","IN","100/300","Multi-vehicle Collision","Major Damage","Front Collision","Ambulance",32280,"Y",1,0,0.27930174563591
42,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Other",84600,"N",1,0,0.27930174563591
35,"MALE","IL","250/500","Single Vehicle Collision","Total Loss","Front Collision","Other",69700,"N",1,0,0.283018867924528
33,"MALE","OH","100/300","Multi-vehicle Collision","Total Loss","Rear Collision","Ambulance",36400,"N",1,0,0.27930174563591
39,"FEMALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Side Collision","Police",37520,"N",1,0,0.27930174563591
33,"FEMALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Side Collision","Ambulance",79090,"N",1,0,0.27930174563591
54,"MALE","OH","250/500","Single Vehicle Collision","Major Damage","Rear Collision","Other",67770,"Y",1,0,0.283018867924528
32,"MALE","OH","100/300","Single Vehicle Collision","Total Loss","Side Collision","Other",47400,"Y",1,0,0.283018867924528
40,"MALE","IN","100/300","Single Vehicle Collision","Total Loss","Front Collision","Other",71100,"N",1,0,0.283018867924528
46,"MALE","OH","100/300","Single Vehicle Collision","Minor Damage","Front Collision","Police",69400,"N",1,0,0.283018867924528
39,"MALE","OH","500/1000","Multi-vehicle Collision","Major Damage","Rear Collision","Other",55000,"Y",1,0,0.27930174563591
52,"MALE","IN","250/500","Multi-vehicle Collision","Total Loss","Rear Collision","Police",51090,"N",1,0,0.27930174563591
34,"MALE","OH","500/1000","Single Vehicle Collision","Major Damage","Side Collision","Fire",64200,"Y",1,0,0.283018867924528
45,"MALE","IL","500/1000","Single Vehicle Collision","Total Loss","Front Collision","Other",67320,"N",1,0,0.283018867924528
31,"MALE","IL","250/500","Multi-vehicle Collision","Major Damage","Side Collision","Other",76120,"N",1,0,0.27930174563591
28,"FEMALE","OH","500/1000","Multi-vehicle Collision","Minor Damage","Front Collision","Ambulance",85020,"N",1,0,0.27930174563591
41,"MALE","OH","250/500","Multi-vehicle Collision","Minor Damage","Rear Collision","Fire",68090,"N",1,0,0.27930174563591
59,"FEMALE","IL","250/500","Multi-vehicle Collision","Major Damage","Front Collision","Other",72400,"Y",1,0,0.27930174563591
